Dealer Code,Name,City,State,Pincode,Fuel Price,Latitude,Longitude
145080,JAGANNATH FUELS,JERUDI,Odisha,758034,94.22,21.934362,85.414301
145084,KARNI ROOP SERVICE CENTRE,UDAIPUR,Rajasthan,313002,90.96,24.590634,73.6897
145092,GURU TEG BAHADUR FILLING STATION,BAHADURGRH,Punjab,147021,87.7,30.368588,76.472819
145094,R.K.SERVICE STATION,PADAMPUR,Odisha,765025,94.24,19.23876,83.82307
145097,KULEWAL FILLING STATION,LUDHIANA,Punjab,141001,87.92,30.794693,76.194397
145099,SHRI HEMKUNT FILLING STATION,LUDHIANA,Punjab,141205,87.72,30.673967,75.72992
145100,RAI FILLING STATION,LUDHIANA,Punjab,141001,87.6,30.60043,76.0961
145103,ASWAL FILLING STATION,KESHAVRAIPATAN,Rajasthan,323601,90.03,25.30106,75.91087
145114,MEGA PETROMALL,BISHANPURA,Punjab,148028,87.23,30.145506,75.842434
145122,MAHENDRA SINGH KOMAL,DHARAMJAIGARH,Chhattisgarh,496116,93.84,22.464911,83.217457
145123,VIPUL FILLING STATION,BAGRAIN,Uttar Pradesh,243122,87.53,28.300924,79.047014
145124,KISAN BORREWELL CO,SATARA,Maharashtra,415110,91.36,17.690014,74.003899
145126,SAMUNDARI FILLING STATION,SATIYE WALA,Punjab,152001,88.02,30.90577,74.637752
145127,GURU HARKISHAN FUEL STOP,AULAKH,Punjab,152107,87.64,30.27458,74.510894
145131,RAKSHA FUELS C/O R. KOTHARI BROS.,CHARAMA,Chhattisgarh,494337,94.19,20.474135,81.37653
145135,M/S S.M FUELS POINTS,PITHORA,Chhattisgarh,493445,94.09,21.2545619,82.52968319
145138,GAYATRI FUELS,KUTURMA,Odisha,770021,93.11,22.072477,83.836417
145139,PRITHVIRAJ FILLING STATION,RENGALI,Odisha,768212,92.91,21.577867,84.039565
145143,RUDRAKSH PETROLEUM,JUNAGADH,Gujarat,362250,90.89,21.579125,70.456677
145144,GILL GAS STATION,SAMANA,Punjab,147101,87.36,30.139598,76.124236
145147,PRABHAWATI SHANTI AUTOMOBILES,TEHSIL KORAON,Uttar Pradesh,212106,89.31,25.005267,81.912341
145148,PRATAP FILLING STATION,TEHSIL PATTI,Uttar Pradesh,230124,88.99,25.925784,82.314071
145179,SOWDAMBIGA FUELS,SALEM,Tamil Nadu,636201,93.28,11.627419,78.147785
145180,SHIVASHAKTI SERVICE STATION,"SIDDALINGAPURA, MYSORE",Karnataka,570003,90.6,12.36763,76.66148
145182,HARE KRISNA FILLING STATION,NADAUN,Himachal Pradesh,177033,85.99,31.766549,76.359482
145187,BALAJI PETROLEUMS,INDI,Karnataka,586209,91.13,17.167729,75.966381
145191,VISHAL KISAN BAZAR,SHAHJAHANPUR,Uttar Pradesh,242001,87.67,27.983317,79.752599
145193,SATYA KRISHNA PETROLEUM PRODUCTS,RAJAHMUNDRY,Andhra Pradesh,533101,96.74,17.000907,81.793041
145195,J.P.CARES,SITAPUR,Uttar Pradesh,261001,88.37,27.56126,80.69313
145200,VERMA FILLING STATION,ROOPNAGAR,Punjab,140119,88.07,31.152678,76.493733
145209,SIR ARVIND PETROLEUM,AHMEDABAD,Gujarat,380014,90.19,23.050971,72.571654
145213,AKASH FUEL CNTRE,BADABAGH,Rajasthan,345001,91.74,26.945245,70.889593
145218,MOTILAL ENERGY FUELS,BAHADURPUR CROSSING,Uttar Pradesh,229305,88.55,26.266299,81.510049
145239,RAVI PETROLEUM,AHMEDABAD,Gujarat,382475,90.19,23.086209,72.634633
145261,SHREE NAVEEN PETRONET,JAIPUR CITY,Rajasthan,302021,90.24,26.914132,75.75284
145264,S & N FUEL CENTER,GANGTOK,Sikkim,737103,,27.3794023,88.7301525
145265,JAGADAMBA FUELS,BISMILE,West Bengal,732124,92.12,25.270407,88.248302
145293,TEJA SINGH FILLING STATION,JAMMU,Jammu & Kashmir,180004,83.36,32.679803,74.843449
145294,JAMWAL FILLING STATION,CHOPRASHOP,Jammu & Kashmir,182104,83.77,32.908631,75.080098
145305,PUNIA FILLING STATION,MAKRANA,Rajasthan,341505,90.76,27.029253,74.750933
